InspectionID,VendorType,ViolationType,FineImposed,Date,Risk_level
INSP03432,Restaurant,Poor Hygiene,1697,2024-03-03,Medium Risk
INSP03433,Restaurant,Poor Hygiene,7653,2025-08-13,Medium Risk
INSP03434,Street Vendor,Poor Hygiene,7188,2025-10-26,Medium Risk
INSP03435,Retail,Poor Hygiene,5270,2024-11-09,Medium Risk
INSP03436,Restaurant,No License,9258,2024-11-06,High Risk
INSP03437,Retail,Poor Hygiene,2404,2025-02-06,Medium Risk
INSP03438,Restaurant,No License,8480,2025-11-17,High Risk
INSP03439,Street Vendor,No License,6156,2024-06-26,High Risk
INSP03440,Retail,Poor Hygiene,4345,2025-11-07,Medium Risk
INSP03441,Retail,No License,6110,2025-03-21,High Risk
INSP03442,Restaurant,Poor Hygiene,8497,2025-10-18,Medium Risk
INSP03443,Street Vendor,Expired Product,1237,2025-02-17,High Risk
INSP03444,Restaurant,Expired Product,6749,2024-10-12,High Risk
INSP03445,Retail,Poor Hygiene,6584,2024-03-24,Medium Risk
INSP03446,Street Vendor,Expired Product,6961,2024-04-29,High Risk
INSP03447,Street Vendor,Expired Product,6957,2025-02-21,High Risk
INSP03448,Street Vendor,Expired Product,3282,2025-09-17,High Risk
INSP03449,Retail,Expired Product,4267,2025-05-01,High Risk
INSP03450,Restaurant,Poor Hygiene,2559,2024-03-11,Medium Risk
INSP03451,Retail,Expired Product,7940,2024-05-02,High Risk
INSP03452,Retail,Expired Product,1883,2024-12-18,High Risk
INSP03453,Restaurant,Poor Hygiene,9688,2025-04-27,Medium Risk
INSP03454,Restaurant,No License,4343,2025-03-24,High Risk
INSP03455,Restaurant,No License,5932,2024-05-19,High Risk
INSP03456,Retail,Expired Product,4439,2024-02-02,High Risk
INSP03457,Street Vendor,Expired Product,2024,2024-12-31,High Risk
INSP03458,Restaurant,No License,3329,2024-02-21,High Risk
INSP03459,Street Vendor,Poor Hygiene,9416,2025-04-05,Medium Risk
INSP03460,Restaurant,Expired Product,3783,2025-10-30,High Risk
INSP03461,Street Vendor,Poor Hygiene,6292,2025-08-01,Medium Risk
INSP03462,Street Vendor,Poor Hygiene,8949,2025-07-06,Medium Risk
INSP03463,Restaurant,Poor Hygiene,7520,2024-06-25,Medium Risk
INSP03464,Retail,No License,3176,2025-02-12,High Risk
INSP03465,Restaurant,No License,4674,2025-07-30,High Risk
INSP03466,Restaurant,Poor Hygiene,8682,2025-11-08,Medium Risk
INSP03467,Retail,No License,3271,2024-10-06,High Risk
INSP03468,Street Vendor,Expired Product,9777,2025-05-09,High Risk
INSP03469,Restaurant,No License,7562,2024-06-08,High Risk
INSP03470,Street Vendor,Expired Product,6032,2024-12-14,High Risk
INSP03471,Street Vendor,No License,2924,2025-09-20,High Risk
INSP03472,Restaurant,No License,2700,2025-05-17,High Risk
INSP03473,Street Vendor,No License,7630,2024-05-09,High Risk
INSP03474,Retail,Poor Hygiene,6146,2025-09-27,Medium Risk
INSP03475,Street Vendor,No License,9619,2024-02-21,High Risk
INSP03476,Retail,Expired Product,3331,2025-09-15,High Risk
INSP03477,Restaurant,Expired Product,2001,2024-04-16,High Risk
INSP03478,Street Vendor,No License,2970,2025-12-09,High Risk
INSP03479,Retail,No License,8066,2024-10-21,High Risk
INSP03480,Restaurant,Poor Hygiene,5902,2025-03-12,Medium Risk
INSP03481,Restaurant,Poor Hygiene,4464,2025-01-27,Medium Risk
INSP03482,Restaurant,Expired Product,8013,2024-05-21,High Risk
INSP03483,Restaurant,Poor Hygiene,7149,2025-08-24,Medium Risk
INSP03484,Restaurant,Expired Product,5818,2024-12-02,High Risk
INSP03485,Restaurant,No License,9305,2025-11-30,High Risk
INSP03486,Restaurant,Poor Hygiene,7256,2025-06-02,Medium Risk
INSP03487,Street Vendor,Poor Hygiene,8238,2024-07-10,Medium Risk
INSP03488,Retail,No License,4049,2024-03-26,High Risk
INSP03489,Retail,Expired Product,4342,2025-11-11,High Risk
INSP03490,Street Vendor,No License,1494,2024-01-20,High Risk
INSP03491,Street Vendor,Expired Product,2485,2024-03-22,High Risk
INSP03492,Retail,Expired Product,4812,2024-04-13,High Risk
INSP03493,Street Vendor,Poor Hygiene,1055,2025-09-14,Medium Risk
INSP03494,Restaurant,Poor Hygiene,7457,2025-07-16,Medium Risk
INSP03495,Street Vendor,Expired Product,1761,2024-01-17,High Risk
INSP03496,Restaurant,No License,5358,2025-09-04,High Risk
INSP03497,Restaurant,Poor Hygiene,3744,2024-01-15,Medium Risk
INSP03498,Retail,No License,8398,2025-12-17,High Risk
INSP03499,Retail,No License,7703,2025-08-05,High Risk
INSP03500,Retail,No License,5940,2025-03-27,High Risk
INSP03501,Street Vendor,Expired Product,6376,2024-06-23,High Risk
INSP03502,Restaurant,Expired Product,6635,2024-07-11,High Risk
INSP03503,Restaurant,Expired Product,6639,2025-12-09,High Risk
INSP03504,Street Vendor,No License,5615,2024-07-08,High Risk
INSP03505,Restaurant,No License,3662,2024-02-15,High Risk
INSP03506,Street Vendor,Expired Product,6001,2024-08-23,High Risk
INSP03507,Restaurant,Poor Hygiene,5967,2025-12-02,Medium Risk
INSP03508,Retail,Poor Hygiene,9971,2025-02-08,Medium Risk
INSP03509,Street Vendor,Poor Hygiene,2478,2025-05-29,Medium Risk
INSP03510,Restaurant,No License,824,2025-01-19,High Risk
INSP03511,Restaurant,Poor Hygiene,5674,2024-02-15,Medium Risk
INSP03512,Retail,Expired Product,7512,2025-03-17,High Risk
INSP03513,Street Vendor,Expired Product,4237,2025-07-22,High Risk
INSP03514,Street Vendor,Expired Product,9393,2025-08-25,High Risk
INSP03515,Street Vendor,No License,3533,2024-03-07,High Risk
INSP03516,Street Vendor,No License,4222,2024-08-30,High Risk
INSP03517,Retail,No License,2268,2024-07-26,High Risk
INSP03518,Retail,Expired Product,6727,2024-09-29,High Risk
INSP03519,Retail,No License,5722,2024-12-25,High Risk
INSP03520,Street Vendor,No License,9008,2025-01-20,High Risk
INSP03521,Retail,Poor Hygiene,6588,2024-04-24,Medium Risk
INSP03522,Retail,Expired Product,3517,2024-08-15,High Risk
INSP03523,Retail,Expired Product,1422,2024-10-05,High Risk
INSP03524,Restaurant,Expired Product,4160,2025-04-11,High Risk
INSP03525,Retail,No License,8157,2025-06-02,High Risk
INSP03526,Restaurant,Expired Product,8337,2024-02-25,High Risk
INSP03527,Retail,No License,9906,2024-02-23,High Risk
INSP03528,Street Vendor,Expired Product,1033,2024-10-29,High Risk
INSP03529,Restaurant,Expired Product,2569,2024-12-15,High Risk
INSP03530,Retail,No License,7078,2024-09-23,High Risk
INSP03531,Restaurant,Poor Hygiene,5629,2024-12-04,Medium Risk
INSP03532,Retail,No License,8408,2024-05-13,High Risk
INSP03533,Restaurant,Expired Product,5539,2025-01-26,High Risk
INSP03534,Restaurant,No License,5028,2025-11-21,High Risk
INSP03535,Restaurant,Poor Hygiene,8445,2024-12-03,Medium Risk
INSP03536,Restaurant,Expired Product,4669,2024-02-01,High Risk
INSP03537,Street Vendor,No License,8532,2025-11-01,High Risk
INSP03538,Restaurant,Expired Product,2690,2024-12-07,High Risk
INSP03539,Restaurant,Expired Product,4759,2025-01-04,High Risk
INSP03540,Street Vendor,No License,3320,2024-09-23,High Risk
INSP03541,Street Vendor,No License,4124,2024-09-15,High Risk
INSP03542,Street Vendor,No License,2833,2025-08-10,High Risk
INSP03543,Restaurant,Poor Hygiene,9741,2024-10-14,Medium Risk
INSP03544,Retail,Expired Product,5974,2024-09-03,High Risk
INSP03545,Restaurant,No License,8591,2025-08-23,High Risk
INSP03546,Restaurant,No License,4951,2024-03-02,High Risk
INSP03547,Restaurant,Poor Hygiene,2726,2025-03-19,Medium Risk
INSP03548,Street Vendor,Poor Hygiene,9954,2025-12-02,Medium Risk
INSP03549,Retail,Expired Product,8208,2024-04-11,High Risk
INSP03550,Street Vendor,No License,9421,2025-11-19,High Risk
INSP03551,Retail,Poor Hygiene,9066,2025-07-12,Medium Risk
INSP03552,Retail,Expired Product,6704,2024-07-02,High Risk
INSP03553,Retail,Poor Hygiene,8643,2025-05-14,Medium Risk
INSP03554,Restaurant,Poor Hygiene,7288,2025-05-01,Medium Risk
INSP03555,Street Vendor,No License,8879,2025-09-29,High Risk
INSP03556,Restaurant,Expired Product,7199,2025-12-20,High Risk
INSP03557,Restaurant,Expired Product,3629,2025-01-20,High Risk
INSP03558,Restaurant,Poor Hygiene,3184,2025-03-13,Medium Risk
INSP03559,Restaurant,Expired Product,2590,2024-08-21,High Risk
INSP03560,Retail,No License,3336,2024-08-28,High Risk
INSP03561,Retail,Expired Product,9158,2024-12-16,High Risk
INSP03562,Restaurant,Expired Product,6352,2024-12-19,High Risk
INSP03563,Restaurant,No License,4504,2024-09-07,High Risk
INSP03564,Street Vendor,Expired Product,4029,2025-05-03,High Risk
INSP03565,Restaurant,Poor Hygiene,4977,2025-06-17,Medium Risk
INSP03566,Restaurant,No License,5751,2024-03-28,High Risk
INSP03567,Street Vendor,Poor Hygiene,754,2025-11-15,Medium Risk
INSP03568,Street Vendor,Poor Hygiene,9034,2025-06-28,Medium Risk
INSP03569,Restaurant,Expired Product,7381,2024-06-24,High Risk
INSP03570,Retail,No License,3346,2025-02-09,High Risk
INSP03571,Retail,Expired Product,8053,2025-02-23,High Risk
INSP03572,Retail,Expired Product,1115,2025-11-09,High Risk
INSP03573,Restaurant,Expired Product,4704,2024-07-02,High Risk
INSP03574,Restaurant,No License,8159,2025-08-01,High Risk
INSP03575,Retail,Expired Product,3498,2025-08-14,High Risk
INSP03576,Retail,No License,4743,2025-07-21,High Risk
INSP03577,Retail,Expired Product,9426,2025-05-24,High Risk
INSP03578,Retail,Poor Hygiene,7908,2025-10-20,Medium Risk
INSP03579,Street Vendor,Expired Product,1944,2024-01-08,High Risk
INSP03580,Retail,Poor Hygiene,1996,2024-07-26,Medium Risk
INSP03581,Street Vendor,No License,2236,2024-04-13,High Risk
INSP03582,Restaurant,Poor Hygiene,8991,2024-12-29,Medium Risk
INSP03583,Street Vendor,No License,4252,2025-09-15,High Risk
INSP03584,Restaurant,Poor Hygiene,3709,2024-02-15,Medium Risk
INSP03585,Retail,No License,7243,2024-07-10,High Risk
INSP03586,Restaurant,Expired Product,2025,2024-09-22,High Risk
INSP03587,Restaurant,Poor Hygiene,5756,2024-04-05,Medium Risk
INSP03588,Retail,No License,5765,2024-01-30,High Risk
INSP03589,Restaurant,Poor Hygiene,3016,2024-08-22,Medium Risk
INSP03590,Retail,No License,7455,2025-02-24,High Risk
INSP03591,Restaurant,Poor Hygiene,6201,2024-06-06,Medium Risk
INSP03592,Street Vendor,Poor Hygiene,2670,2024-02-25,Medium Risk
INSP03593,Restaurant,Poor Hygiene,3835,2025-12-15,Medium Risk
INSP03594,Restaurant,Expired Product,5495,2025-02-19,High Risk
INSP03595,Retail,No License,8767,2025-12-18,High Risk
INSP03596,Restaurant,No License,6400,2024-10-16,High Risk
INSP03597,Retail,No License,4029,2025-12-08,High Risk
INSP03598,Street Vendor,No License,9984,2025-06-29,High Risk
INSP03599,Retail,Poor Hygiene,6857,2024-07-08,Medium Risk
INSP03600,Retail,No License,4287,2024-05-28,High Risk
INSP03601,Retail,Expired Product,1735,2024-08-18,High Risk
INSP03602,Street Vendor,No License,9973,2025-12-07,High Risk
INSP03603,Retail,Expired Product,8878,2024-01-10,High Risk
INSP03604,Restaurant,No License,4199,2025-05-12,High Risk
INSP03605,Restaurant,Expired Product,1673,2024-10-05,High Risk
INSP03606,Street Vendor,Poor Hygiene,8769,2024-10-08,Medium Risk
INSP03607,Street Vendor,No License,1693,2025-02-12,High Risk
INSP03608,Retail,Poor Hygiene,6998,2025-06-26,Medium Risk
INSP03609,Restaurant,Poor Hygiene,2698,2024-12-01,Medium Risk
INSP03610,Restaurant,Poor Hygiene,4030,2024-02-08,Medium Risk
INSP03611,Restaurant,Poor Hygiene,1152,2025-08-23,Medium Risk
INSP03612,Retail,No License,4721,2024-10-08,High Risk
INSP03613,Retail,No License,9181,2025-09-12,High Risk
INSP03614,Street Vendor,Poor Hygiene,1137,2024-12-14,Medium Risk
INSP03615,Street Vendor,Poor Hygiene,6607,2024-02-24,Medium Risk
INSP03616,Street Vendor,No License,1257,2025-11-28,High Risk
INSP03617,Street Vendor,Expired Product,7839,2024-12-02,High Risk
INSP03618,Restaurant,Expired Product,7204,2025-12-31,High Risk
INSP03619,Street Vendor,Expired Product,1756,2025-02-14,High Risk
INSP03620,Street Vendor,Poor Hygiene,1666,2025-05-22,Medium Risk
INSP03621,Restaurant,Poor Hygiene,8727,2024-09-28,Medium Risk
INSP03622,Street Vendor,Expired Product,3771,2024-07-11,High Risk
INSP03623,Retail,Expired Product,5119,2025-08-05,High Risk
INSP03624,Restaurant,Expired Product,6995,2024-12-06,High Risk
INSP03625,Street Vendor,Poor Hygiene,1649,2024-10-13,Medium Risk
INSP03626,Restaurant,No License,6363,2024-09-25,High Risk
INSP03627,Street Vendor,No License,6902,2024-06-02,High Risk
INSP03628,Retail,No License,7213,2025-10-10,High Risk
INSP03629,Restaurant,Expired Product,3695,2024-12-12,High Risk
INSP03630,Retail,Poor Hygiene,9494,2024-06-19,Medium Risk
INSP03631,Restaurant,Expired Product,3887,2024-07-21,High Risk
INSP03632,Retail,No License,9334,2025-11-23,High Risk
INSP03633,Restaurant,Poor Hygiene,6005,2024-10-17,Medium Risk
INSP03634,Restaurant,Expired Product,3997,2025-04-02,High Risk
INSP03635,Street Vendor,Expired Product,9368,2025-01-14,High Risk
INSP03636,Retail,No License,8471,2025-09-09,High Risk
INSP03637,Retail,Poor Hygiene,3778,2025-01-26,Medium Risk
INSP03638,Street Vendor,Poor Hygiene,903,2025-04-03,Medium Risk
INSP03639,Restaurant,Expired Product,3790,2025-08-05,High Risk
INSP03640,Restaurant,Expired Product,7504,2025-02-13,High Risk
INSP03641,Street Vendor,Poor Hygiene,1981,2025-11-25,Medium Risk
INSP03642,Street Vendor,Poor Hygiene,1189,2024-05-10,Medium Risk
INSP03643,Restaurant,Expired Product,6771,2024-03-06,High Risk
INSP03644,Restaurant,No License,7355,2024-01-08,High Risk
INSP03645,Retail,Poor Hygiene,1898,2024-04-16,Medium Risk
INSP03646,Street Vendor,Expired Product,4215,2024-02-22,High Risk
INSP03647,Street Vendor,Poor Hygiene,4484,2025-03-08,Medium Risk
INSP03648,Restaurant,No License,7671,2025-09-24,High Risk
INSP03649,Restaurant,Poor Hygiene,2236,2024-07-11,Medium Risk
INSP03650,Restaurant,No License,3801,2024-09-01,High Risk
INSP03651,Street Vendor,Expired Product,9276,2025-11-05,High Risk
INSP03652,Street Vendor,Poor Hygiene,3350,2024-12-22,Medium Risk
INSP03653,Retail,Expired Product,4413,2024-01-08,High Risk
INSP03654,Retail,Poor Hygiene,3948,2024-02-06,Medium Risk
INSP03655,Restaurant,Expired Product,6717,2024-10-18,High Risk
INSP03656,Street Vendor,Expired Product,2946,2024-03-22,High Risk
INSP03657,Street Vendor,No License,5471,2025-11-16,High Risk
INSP03658,Retail,Expired Product,2013,2025-09-13,High Risk
INSP03659,Restaurant,Expired Product,5332,2024-06-06,High Risk
INSP03660,Street Vendor,No License,744,2024-04-11,High Risk
INSP03661,Street Vendor,No License,2846,2025-09-05,High Risk
INSP03662,Restaurant,Expired Product,1264,2025-10-17,High Risk
INSP03663,Retail,Expired Product,586,2025-04-06,High Risk
INSP03664,Retail,No License,2532,2025-05-21,High Risk
INSP03665,Street Vendor,Poor Hygiene,5948,2024-07-02,Medium Risk
INSP03666,Restaurant,No License,5954,2024-08-07,High Risk
INSP03667,Retail,No License,7327,2024-06-24,High Risk
INSP03668,Street Vendor,Poor Hygiene,1202,2025-10-23,Medium Risk
INSP03669,Retail,Poor Hygiene,4445,2024-10-04,Medium Risk
INSP03670,Restaurant,Expired Product,6060,2024-06-27,High Risk
INSP03671,Street Vendor,No License,8651,2024-02-29,High Risk
INSP03672,Retail,Poor Hygiene,1491,2024-02-11,Medium Risk
INSP03673,Retail,Poor Hygiene,8434,2025-10-13,Medium Risk
INSP03674,Restaurant,Poor Hygiene,2757,2025-07-15,Medium Risk
INSP03675,Restaurant,No License,6976,2024-01-01,High Risk
INSP03676,Restaurant,Poor Hygiene,7301,2025-01-18,Medium Risk
INSP03677,Restaurant,Expired Product,1195,2025-08-31,High Risk
INSP03678,Restaurant,Poor Hygiene,3682,2024-06-14,Medium Risk
INSP03679,Restaurant,Expired Product,2637,2025-10-25,High Risk
INSP03680,Restaurant,Expired Product,2551,2025-07-26,High Risk
INSP03681,Retail,Expired Product,2086,2024-11-16,High Risk
INSP03682,Street Vendor,Expired Product,699,2025-04-19,High Risk
INSP03683,Street Vendor,Poor Hygiene,1506,2025-04-04,Medium Risk
INSP03684,Street Vendor,No License,5516,2024-01-10,High Risk
INSP03685,Retail,Poor Hygiene,7888,2025-02-13,Medium Risk
INSP03686,Restaurant,No License,866,2024-08-16,High Risk
INSP03687,Restaurant,Expired Product,4377,2024-04-05,High Risk
INSP03688,Retail,No License,1681,2025-07-08,High Risk
INSP03689,Retail,Poor Hygiene,9278,2024-11-23,Medium Risk
INSP03690,Retail,Expired Product,2856,2024-11-11,High Risk
INSP03691,Street Vendor,Expired Product,5143,2025-12-05,High Risk
INSP03692,Retail,Expired Product,3867,2024-07-08,High Risk
INSP03693,Retail,No License,2966,2025-07-29,High Risk
INSP03694,Restaurant,No License,3112,2025-11-27,High Risk
INSP03695,Street Vendor,Expired Product,5371,2024-03-03,High Risk
INSP03696,Street Vendor,No License,5560,2024-10-12,High Risk
INSP03697,Street Vendor,No License,9130,2024-01-24,High Risk
INSP03698,Retail,Poor Hygiene,2912,2024-12-05,Medium Risk
INSP03699,Retail,No License,4413,2025-09-14,High Risk
INSP03700,Street Vendor,Expired Product,8477,2025-11-02,High Risk
INSP03701,Restaurant,No License,5025,2025-05-09,High Risk
INSP03702,Restaurant,Poor Hygiene,8329,2024-08-12,Medium Risk
INSP03703,Street Vendor,No License,3135,2024-09-11,High Risk
INSP03704,Retail,Expired Product,6810,2024-11-12,High Risk
INSP03705,Street Vendor,No License,1432,2024-07-19,High Risk
INSP03706,Retail,Expired Product,2605,2025-12-29,High Risk
INSP03707,Street Vendor,Expired Product,793,2024-02-18,High Risk
INSP03708,Retail,No License,3542,2025-04-05,High Risk
INSP03709,Restaurant,Poor Hygiene,4673,2025-09-23,Medium Risk
INSP03710,Restaurant,No License,2038,2024-04-29,High Risk
INSP03711,Street Vendor,Expired Product,9278,2025-11-18,High Risk
INSP03712,Street Vendor,No License,6800,2025-01-25,High Risk
INSP03713,Restaurant,Poor Hygiene,8365,2025-08-09,Medium Risk
INSP03714,Restaurant,Poor Hygiene,596,2024-11-26,Medium Risk
INSP03715,Restaurant,No License,9311,2025-06-19,High Risk
INSP03716,Restaurant,No License,1194,2025-05-10,High Risk
INSP03717,Street Vendor,No License,5673,2024-06-18,High Risk
INSP03718,Retail,Expired Product,8376,2025-03-27,High Risk
INSP03719,Retail,No License,9116,2024-10-14,High Risk
INSP03720,Retail,Expired Product,6621,2025-09-20,High Risk
INSP03721,Retail,No License,9908,2024-08-18,High Risk
INSP03722,Street Vendor,Expired Product,8752,2024-05-11,High Risk
INSP03723,Restaurant,Poor Hygiene,8641,2024-12-10,Medium Risk
INSP03724,Street Vendor,Expired Product,6054,2024-09-24,High Risk
INSP03725,Retail,No License,6115,2025-08-08,High Risk
INSP03726,Street Vendor,No License,4640,2025-10-07,High Risk
INSP03727,Restaurant,Poor Hygiene,7311,2025-10-06,Medium Risk
INSP03728,Retail,Expired Product,9176,2024-08-05,High Risk
INSP03729,Street Vendor,Expired Product,3421,2024-02-11,High Risk
INSP03730,Street Vendor,Poor Hygiene,2103,2025-10-12,Medium Risk
INSP03731,Restaurant,Poor Hygiene,884,2024-09-20,Medium Risk
INSP03732,Street Vendor,Poor Hygiene,5890,2024-08-25,Medium Risk
INSP03733,Street Vendor,No License,6319,2024-01-29,High Risk
INSP03734,Street Vendor,No License,6260,2025-05-09,High Risk
INSP03735,Restaurant,Expired Product,5754,2025-07-07,High Risk
INSP03736,Street Vendor,Expired Product,4627,2025-04-27,High Risk
INSP03737,Retail,Poor Hygiene,5682,2025-02-14,Medium Risk
INSP03738,Retail,Expired Product,6197,2024-09-24,High Risk
INSP03739,Retail,Poor Hygiene,9311,2024-12-14,Medium Risk
INSP03740,Restaurant,No License,2473,2025-05-17,High Risk
INSP03741,Restaurant,Expired Product,1992,2025-02-20,High Risk
INSP03742,Retail,Poor Hygiene,4035,2025-03-26,Medium Risk
INSP03743,Street Vendor,No License,8243,2024-11-16,High Risk
INSP03744,Restaurant,Expired Product,9277,2024-04-10,High Risk
INSP03745,Restaurant,Poor Hygiene,5465,2025-07-03,Medium Risk
INSP03746,Restaurant,No License,7555,2024-05-15,High Risk
INSP03747,Street Vendor,No License,7635,2025-09-20,High Risk
INSP03748,Restaurant,Poor Hygiene,5424,2024-09-25,Medium Risk
INSP03749,Retail,Expired Product,3232,2024-10-04,High Risk
INSP03750,Restaurant,Poor Hygiene,7174,2024-04-28,Medium Risk
INSP03751,Street Vendor,Poor Hygiene,5874,2024-12-07,Medium Risk
INSP03752,Street Vendor,Poor Hygiene,4859,2025-07-20,Medium Risk
INSP03753,Restaurant,Expired Product,2214,2025-08-28,High Risk
INSP03754,Restaurant,No License,2520,2025-03-24,High Risk
INSP03755,Street Vendor,No License,9860,2025-07-11,High Risk
INSP03756,Retail,Expired Product,8909,2025-11-05,High Risk
INSP03757,Restaurant,No License,7012,2024-09-27,High Risk
INSP03758,Retail,Poor Hygiene,9827,2024-11-09,Medium Risk
INSP03759,Restaurant,Expired Product,2176,2024-03-02,High Risk
INSP03760,Retail,Expired Product,1542,2024-12-20,High Risk
INSP03761,Street Vendor,No License,6670,2025-02-04,High Risk
INSP03762,Retail,Expired Product,1940,2024-01-17,High Risk
INSP03763,Retail,No License,4867,2025-09-10,High Risk
INSP03764,Restaurant,No License,7961,2024-04-06,High Risk
INSP03765,Retail,Poor Hygiene,6034,2024-09-08,Medium Risk
INSP03766,Restaurant,Poor Hygiene,5254,2024-09-14,Medium Risk
INSP03767,Street Vendor,Poor Hygiene,1255,2024-08-07,Medium Risk
INSP03768,Restaurant,Poor Hygiene,9438,2024-03-31,Medium Risk
INSP03769,Retail,Poor Hygiene,1833,2024-06-04,Medium Risk
INSP03770,Retail,Poor Hygiene,962,2024-02-05,Medium Risk
INSP03771,Restaurant,No License,2932,2025-07-14,High Risk
INSP03772,Retail,Expired Product,9344,2024-06-04,High Risk
INSP03773,Street Vendor,No License,6381,2025-09-27,High Risk
INSP03774,Retail,Poor Hygiene,6714,2025-08-09,Medium Risk
INSP03775,Restaurant,Poor Hygiene,4169,2024-04-06,Medium Risk
INSP03776,Restaurant,No License,2490,2024-03-08,High Risk
INSP03777,Retail,Poor Hygiene,4479,2024-02-17,Medium Risk
INSP03778,Street Vendor,Expired Product,6872,2025-01-28,High Risk
INSP03779,Retail,Expired Product,3077,2024-03-15,High Risk
INSP03780,Street Vendor,Poor Hygiene,1634,2024-03-13,Medium Risk
INSP03781,Restaurant,Expired Product,8923,2024-01-29,High Risk
INSP03782,Retail,No License,6587,2024-06-25,High Risk
INSP03783,Restaurant,Expired Product,6917,2025-05-09,High Risk
INSP03784,Retail,Poor Hygiene,1071,2025-04-27,Medium Risk
INSP03785,Street Vendor,No License,1586,2025-02-05,High Risk
INSP03786,Street Vendor,Expired Product,5012,2024-03-20,High Risk
INSP03787,Street Vendor,Expired Product,9357,2024-03-12,High Risk
INSP03788,Retail,Expired Product,7523,2024-08-07,High Risk
INSP03789,Street Vendor,Poor Hygiene,2743,2025-11-14,Medium Risk
INSP03790,Retail,No License,4121,2024-06-14,High Risk
INSP03791,Retail,Poor Hygiene,2731,2024-12-06,Medium Risk
INSP03792,Retail,Expired Product,3116,2024-08-29,High Risk
INSP03793,Retail,Expired Product,1739,2024-03-12,High Risk
INSP03794,Street Vendor,No License,5879,2024-11-22,High Risk
INSP03795,Restaurant,No License,1760,2025-01-08,High Risk
INSP03796,Retail,Expired Product,3105,2024-07-25,High Risk
INSP03797,Retail,Poor Hygiene,2824,2024-12-21,Medium Risk
INSP03798,Retail,No License,9402,2025-07-10,High Risk
INSP03799,Retail,Poor Hygiene,815,2025-11-18,Medium Risk
INSP03800,Restaurant,No License,7371,2024-08-05,High Risk
INSP03801,Street Vendor,Poor Hygiene,5827,2024-07-14,Medium Risk
INSP03802,Restaurant,No License,4484,2024-08-23,High Risk
INSP03803,Street Vendor,No License,4666,2025-01-06,High Risk
INSP03804,Retail,No License,7348,2025-03-24,High Risk
INSP03805,Street Vendor,No License,6189,2024-11-02,High Risk
INSP03806,Restaurant,Expired Product,4163,2024-12-11,High Risk
INSP03807,Restaurant,Expired Product,9139,2025-09-20,High Risk
INSP03808,Restaurant,Poor Hygiene,9722,2024-10-17,Medium Risk
INSP03809,Restaurant,No License,2804,2025-12-28,High Risk
INSP03810,Restaurant,No License,6150,2025-09-21,High Risk
INSP03811,Retail,Expired Product,4494,2024-06-29,High Risk
INSP03812,Street Vendor,Expired Product,9849,2025-04-18,High Risk
INSP03813,Retail,No License,8445,2025-10-19,High Risk
INSP03814,Street Vendor,Expired Product,3655,2024-06-18,High Risk
INSP03815,Street Vendor,No License,2590,2025-08-21,High Risk
INSP03816,Retail,No License,7242,2024-01-08,High Risk
INSP03817,Street Vendor,Expired Product,4460,2024-04-09,High Risk
INSP03818,Retail,Expired Product,5914,2024-04-29,High Risk
INSP03819,Retail,No License,8088,2024-02-28,High Risk
INSP03820,Street Vendor,Expired Product,8988,2025-07-24,High Risk
INSP03821,Restaurant,No License,1268,2025-08-28,High Risk
INSP03822,Street Vendor,No License,7547,2024-05-22,High Risk
INSP03823,Retail,Poor Hygiene,3769,2024-05-31,Medium Risk
INSP03824,Retail,Poor Hygiene,6427,2025-06-23,Medium Risk
INSP03825,Retail,Poor Hygiene,1741,2025-01-13,Medium Risk
INSP03826,Restaurant,No License,5094,2025-06-14,High Risk
INSP03827,Retail,Expired Product,4907,2025-11-02,High Risk
INSP03828,Restaurant,Expired Product,852,2024-04-06,High Risk
INSP03829,Retail,Poor Hygiene,9887,2025-07-03,Medium Risk
INSP03830,Retail,Expired Product,5512,2025-12-11,High Risk
INSP03831,Restaurant,No License,2620,2024-07-24,High Risk
INSP03832,Restaurant,Expired Product,5808,2024-03-09,High Risk
INSP03833,Restaurant,No License,7994,2025-08-01,High Risk
INSP03834,Restaurant,No License,2342,2025-05-08,High Risk
INSP03835,Restaurant,No License,1872,2025-11-15,High Risk
INSP03836,Restaurant,Expired Product,6294,2025-05-11,High Risk
INSP03837,Retail,No License,883,2025-12-05,High Risk
INSP03838,Retail,No License,4339,2024-10-17,High Risk
INSP03839,Retail,Expired Product,4669,2025-08-20,High Risk
INSP03840,Retail,Poor Hygiene,5607,2024-03-17,Medium Risk
INSP03841,Street Vendor,Poor Hygiene,1835,2025-11-10,Medium Risk
INSP03842,Restaurant,No License,5988,2025-09-20,High Risk
INSP03843,Restaurant,Poor Hygiene,3110,2025-02-04,Medium Risk
INSP03844,Street Vendor,Poor Hygiene,6988,2025-05-14,Medium Risk
INSP03845,Street Vendor,Expired Product,3438,2024-11-29,High Risk
INSP03846,Restaurant,Poor Hygiene,6765,2025-06-08,Medium Risk
INSP03847,Restaurant,Poor Hygiene,7318,2024-04-22,Medium Risk
INSP03848,Street Vendor,Expired Product,2928,2025-05-11,High Risk
INSP03849,Retail,No License,3661,2024-08-02,High Risk
INSP03850,Retail,Expired Product,2745,2025-08-03,High Risk
INSP03851,Street Vendor,No License,3015,2024-04-24,High Risk
INSP03852,Street Vendor,Expired Product,9159,2024-05-27,High Risk
INSP03853,Retail,Poor Hygiene,9417,2024-03-18,Medium Risk
