CaseID,DistrictID,Date,CaseType,PatientCount,SeverityLevel
HC06117,8,7/6/2024,Diarrheal Disease,11,1
HC06118,11,9/11/2024,Typhoid,8,2
HC06119,26,1/16/2024,Food Poisoning,30,2
HC06120,21,11/2/2025,Diarrheal Disease,16,3
HC06121,26,7/17/2025,Diarrheal Disease,39,3
HC06122,4,12/21/2025,Typhoid,13,5
HC06123,8,5/19/2025,Diarrheal Disease,21,1
HC06124,13,3/15/2024,Diarrheal Disease,22,1
HC06125,1,12/24/2024,Diarrheal Disease,8,4
HC06126,7,3/1/2024,Typhoid,8,2
HC06127,2,5/24/2025,Food Poisoning,2,3
HC06128,12,10/4/2024,Typhoid,8,2
HC06129,9,4/23/2025,Diarrheal Disease,22,5
HC06130,17,12/2/2024,Typhoid,23,3
HC06131,17,5/28/2024,Diarrheal Disease,23,2
HC06132,9,7/23/2024,Typhoid,35,1
HC06133,8,7/27/2024,Diarrheal Disease,22,4
HC06134,7,10/25/2024,Typhoid,22,2
HC06135,22,6/23/2025,Food Poisoning,1,5
HC06136,17,8/12/2024,Food Poisoning,4,1
HC06137,6,12/20/2025,Diarrheal Disease,10,4
HC06138,2,1/8/2024,Typhoid,3,5
HC06139,15,11/9/2024,Typhoid,23,4
HC06140,4,3/12/2024,Food Poisoning,19,4
HC06141,22,1/2/2025,Food Poisoning,6,2
HC06142,12,4/11/2025,Typhoid,31,3
HC06143,10,8/25/2024,Food Poisoning,7,4
HC06144,7,6/13/2024,Food Poisoning,25,3
HC06145,26,8/9/2025,Typhoid,37,3
HC06146,16,9/19/2024,Diarrheal Disease,35,5
HC06147,24,5/24/2024,Diarrheal Disease,1,4
HC06148,4,11/22/2025,Food Poisoning,24,4
HC06149,21,5/14/2025,Food Poisoning,16,4
HC06150,7,7/3/2025,Typhoid,1,1
HC06151,16,9/9/2025,Food Poisoning,2,1
HC06152,15,9/9/2025,Diarrheal Disease,18,5
HC06153,10,2/6/2024,Diarrheal Disease,9,1
HC06154,3,10/17/2025,Food Poisoning,39,5
HC06155,25,8/26/2025,Typhoid,35,2
HC06156,5,11/27/2024,Diarrheal Disease,1,2
HC06157,10,2/19/2025,Food Poisoning,12,3
HC06158,22,5/11/2024,Typhoid,30,3
HC06159,10,5/6/2025,Diarrheal Disease,14,1
HC06160,20,7/22/2025,Diarrheal Disease,20,4
HC06161,8,10/11/2025,Typhoid,25,5
HC06162,6,2/3/2024,Food Poisoning,36,2
HC06163,19,8/28/2024,Food Poisoning,6,3
HC06164,6,3/19/2024,Typhoid,17,2
HC06165,6,4/25/2024,Diarrheal Disease,10,4
HC06166,10,11/7/2024,Food Poisoning,34,3
HC06167,7,6/26/2024,Typhoid,33,5
HC06168,24,10/8/2025,Diarrheal Disease,28,2
HC06169,2,12/3/2025,Typhoid,35,3
HC06170,2,11/13/2025,Diarrheal Disease,16,2
HC06171,2,8/4/2024,Typhoid,34,3
HC06172,1,2/10/2025,Diarrheal Disease,18,1
HC06173,17,4/16/2024,Typhoid,26,2
HC06174,21,9/3/2025,Food Poisoning,4,2
HC06175,23,1/5/2025,Diarrheal Disease,13,3
HC06176,22,3/26/2025,Food Poisoning,16,3
HC06177,19,8/14/2024,Diarrheal Disease,28,4
HC06178,4,1/18/2024,Diarrheal Disease,21,2
HC06179,20,3/13/2024,Food Poisoning,27,5
HC06180,23,12/16/2025,Diarrheal Disease,21,2
HC06181,24,5/3/2025,Typhoid,11,1
HC06182,2,2/3/2025,Food Poisoning,33,2
HC06183,14,12/1/2024,Typhoid,10,3
HC06184,2,4/6/2024,Food Poisoning,19,1
HC06185,13,12/14/2024,Food Poisoning,26,2
HC06186,19,6/10/2025,Typhoid,4,5
HC06187,26,6/11/2024,Food Poisoning,17,2
HC06188,14,9/22/2025,Typhoid,10,1
HC06189,18,10/30/2025,Typhoid,22,4
HC06190,1,6/7/2024,Food Poisoning,24,4
HC06191,25,3/27/2025,Diarrheal Disease,3,2
HC06192,7,1/5/2025,Diarrheal Disease,28,4
HC06193,23,5/18/2025,Typhoid,2,4
HC06194,1,12/22/2025,Diarrheal Disease,31,3
HC06195,14,1/12/2025,Typhoid,9,2
HC06196,9,8/18/2025,Typhoid,17,5
HC06197,9,8/10/2025,Typhoid,27,4
HC06198,22,11/28/2024,Food Poisoning,2,4
HC06199,23,10/23/2025,Diarrheal Disease,31,1
HC06200,26,1/30/2024,Food Poisoning,4,5
HC06201,15,8/27/2024,Food Poisoning,38,1
HC06202,6,3/22/2024,Diarrheal Disease,2,4
HC06203,21,10/16/2025,Food Poisoning,24,3
HC06204,20,7/28/2024,Diarrheal Disease,36,3
HC06205,7,3/3/2025,Diarrheal Disease,39,5
HC06206,6,8/15/2024,Typhoid,19,3
HC06207,19,3/30/2024,Typhoid,35,4
HC06208,21,3/22/2024,Diarrheal Disease,25,1
HC06209,18,12/8/2024,Food Poisoning,18,5
HC06210,13,3/30/2024,Typhoid,29,5
HC06211,17,6/12/2025,Food Poisoning,3,1
HC06212,4,11/12/2025,Food Poisoning,4,4
HC06213,15,2/13/2024,Food Poisoning,5,1
HC06214,10,8/14/2024,Diarrheal Disease,6,4
HC06215,7,10/28/2025,Typhoid,26,2
HC06216,26,9/3/2025,Typhoid,39,1
HC06217,20,4/28/2024,Diarrheal Disease,36,5
HC06218,14,4/6/2025,Food Poisoning,23,2
HC06219,2,10/2/2024,Food Poisoning,10,2
HC06220,24,1/17/2024,Food Poisoning,18,5
HC06221,17,11/25/2024,Typhoid,7,2
HC06222,2,9/2/2025,Typhoid,26,2
HC06223,22,5/26/2024,Typhoid,38,2
HC06224,21,5/11/2024,Typhoid,11,4
HC06225,4,12/30/2025,Diarrheal Disease,34,1
HC06226,18,8/29/2025,Food Poisoning,2,2
HC06227,24,10/11/2025,Diarrheal Disease,31,2
HC06228,11,1/13/2024,Food Poisoning,28,4
HC06229,25,7/30/2025,Food Poisoning,39,4
HC06230,22,11/14/2024,Food Poisoning,3,2
HC06231,19,10/7/2025,Diarrheal Disease,22,5
HC06232,2,6/10/2024,Food Poisoning,16,5
HC06233,13,3/5/2024,Food Poisoning,22,1
HC06234,8,8/11/2025,Diarrheal Disease,13,1
HC06235,4,8/1/2025,Diarrheal Disease,25,4
HC06236,19,12/13/2024,Typhoid,28,4
HC06237,5,5/29/2024,Food Poisoning,38,5
HC06238,12,2/8/2024,Diarrheal Disease,29,4
HC06239,9,3/15/2024,Diarrheal Disease,32,1
HC06240,16,7/26/2024,Food Poisoning,35,2
HC06241,19,2/13/2025,Food Poisoning,37,4
HC06242,21,6/15/2024,Typhoid,5,5
HC06243,17,9/5/2025,Diarrheal Disease,33,2
HC06244,4,4/10/2024,Diarrheal Disease,20,1
HC06245,8,8/8/2024,Typhoid,30,4
HC06246,26,8/22/2024,Typhoid,12,4
HC06247,22,9/12/2025,Diarrheal Disease,8,5
HC06248,1,4/26/2025,Typhoid,32,3
HC06249,11,8/1/2024,Food Poisoning,38,4
HC06250,16,7/11/2025,Typhoid,26,5
HC06251,23,3/21/2025,Food Poisoning,25,3
HC06252,19,2/11/2024,Food Poisoning,35,3
HC06253,15,6/13/2025,Food Poisoning,30,2
HC06254,1,9/3/2025,Diarrheal Disease,25,2
HC06255,22,9/13/2025,Typhoid,20,1
HC06256,9,3/5/2025,Typhoid,18,1
HC06257,15,8/14/2025,Diarrheal Disease,29,1
HC06258,24,9/8/2025,Typhoid,31,1
HC06259,13,7/15/2025,Typhoid,29,3
HC06260,26,4/3/2024,Food Poisoning,35,1
HC06261,8,3/3/2025,Typhoid,4,3
HC06262,2,8/12/2024,Food Poisoning,4,3
HC06263,1,9/15/2024,Diarrheal Disease,26,2
HC06264,22,11/29/2024,Food Poisoning,20,4
HC06265,15,8/17/2025,Typhoid,36,4
HC06266,5,11/2/2024,Diarrheal Disease,6,4
HC06267,15,10/24/2025,Diarrheal Disease,14,2
HC06268,5,10/10/2025,Typhoid,29,2
HC06269,2,12/31/2025,Food Poisoning,23,3
HC06270,10,10/26/2025,Food Poisoning,4,5
HC06271,18,5/1/2025,Diarrheal Disease,28,4
HC06272,24,6/27/2024,Food Poisoning,22,5
HC06273,18,9/6/2024,Food Poisoning,15,1
HC06274,3,10/13/2025,Food Poisoning,11,2
HC06275,10,6/21/2024,Food Poisoning,37,5
HC06276,22,6/20/2025,Typhoid,29,2
HC06277,7,5/28/2024,Typhoid,1,2
HC06278,23,1/21/2024,Food Poisoning,32,2
HC06279,16,1/8/2025,Food Poisoning,11,2
HC06280,11,9/13/2025,Typhoid,38,4
HC06281,15,6/16/2025,Diarrheal Disease,9,4
HC06282,14,12/31/2025,Diarrheal Disease,36,2
HC06283,14,12/23/2024,Diarrheal Disease,8,5
HC06284,25,12/1/2024,Typhoid,22,3
HC06285,22,8/25/2025,Typhoid,16,5
HC06286,7,9/13/2025,Diarrheal Disease,38,2
HC06287,9,6/7/2025,Food Poisoning,3,4
HC06288,4,11/3/2025,Diarrheal Disease,13,3
HC06289,18,3/22/2024,Food Poisoning,10,5
HC06290,21,5/2/2024,Typhoid,22,3
HC06291,19,5/4/2024,Food Poisoning,3,5
HC06292,13,10/6/2024,Food Poisoning,7,1
HC06293,9,3/1/2025,Diarrheal Disease,6,4
HC06294,23,10/6/2025,Food Poisoning,38,5
HC06295,11,5/4/2025,Typhoid,8,4
HC06296,4,10/2/2025,Food Poisoning,15,3
HC06297,21,12/24/2025,Diarrheal Disease,21,3
HC06298,19,9/16/2024,Food Poisoning,19,5
HC06299,13,9/9/2025,Food Poisoning,5,2
HC06300,9,6/9/2025,Food Poisoning,7,5
HC06301,16,9/17/2024,Food Poisoning,11,5
HC06302,1,9/1/2024,Food Poisoning,2,1
HC06303,26,6/18/2024,Diarrheal Disease,29,5
HC06304,3,3/10/2025,Food Poisoning,33,1
HC06305,14,8/13/2025,Typhoid,39,4
HC06306,14,7/7/2024,Diarrheal Disease,34,4
HC06307,1,3/21/2025,Typhoid,6,1
HC06308,7,6/11/2024,Diarrheal Disease,35,3
HC06309,9,5/10/2024,Typhoid,11,1
HC06310,17,8/18/2024,Diarrheal Disease,12,2
HC06311,6,7/20/2025,Diarrheal Disease,29,2
HC06312,18,10/21/2024,Diarrheal Disease,15,5
HC06313,20,10/1/2024,Diarrheal Disease,15,2
HC06314,15,10/20/2024,Diarrheal Disease,4,4
HC06315,23,7/25/2025,Food Poisoning,27,2
HC06316,10,12/18/2025,Typhoid,33,2
HC06317,14,3/24/2024,Food Poisoning,30,2
HC06318,9,12/17/2025,Diarrheal Disease,17,1
HC06319,7,3/2/2025,Food Poisoning,15,4
HC06320,26,4/22/2024,Typhoid,13,2
HC06321,20,12/29/2024,Food Poisoning,17,4
HC06322,6,1/14/2025,Diarrheal Disease,15,4
HC06323,13,12/21/2024,Typhoid,8,5
HC06324,24,7/4/2024,Food Poisoning,36,3
HC06325,18,9/10/2025,Diarrheal Disease,37,2
HC06326,9,6/20/2024,Food Poisoning,15,3
HC06327,26,7/27/2025,Typhoid,11,1
HC06328,14,2/28/2025,Diarrheal Disease,17,2
HC06329,13,5/7/2024,Diarrheal Disease,14,2
HC06330,19,10/16/2025,Typhoid,7,1
HC06331,7,9/5/2025,Diarrheal Disease,5,4
HC06332,16,5/9/2025,Food Poisoning,37,1
HC06333,4,11/24/2024,Diarrheal Disease,25,5
HC06334,18,5/21/2025,Diarrheal Disease,20,3
HC06335,17,4/28/2025,Food Poisoning,2,3
HC06336,22,10/13/2024,Typhoid,21,5
HC06337,3,11/15/2024,Typhoid,27,2
HC06338,9,9/17/2024,Diarrheal Disease,30,2
HC06339,12,10/30/2025,Diarrheal Disease,6,4
HC06340,9,5/27/2024,Food Poisoning,29,2
HC06341,2,9/12/2025,Typhoid,34,3
HC06342,18,10/13/2025,Typhoid,12,1
HC06343,22,8/13/2025,Diarrheal Disease,18,3
HC06344,16,8/7/2025,Typhoid,10,5
HC06345,17,2/9/2025,Typhoid,36,2
HC06346,21,10/18/2025,Food Poisoning,10,2
HC06347,15,5/9/2025,Typhoid,38,1
HC06348,25,5/28/2024,Food Poisoning,31,2
HC06349,25,5/23/2024,Diarrheal Disease,38,3
HC06350,20,3/25/2024,Food Poisoning,23,2
HC06351,22,5/24/2025,Diarrheal Disease,25,1
HC06352,1,10/2/2025,Diarrheal Disease,17,2
HC06353,21,12/13/2024,Food Poisoning,27,2
HC06354,11,10/8/2024,Food Poisoning,36,5
HC06355,17,11/7/2024,Typhoid,20,5
HC06356,11,12/1/2024,Diarrheal Disease,7,4
HC06357,22,10/6/2024,Diarrheal Disease,3,3
HC06358,20,10/13/2025,Food Poisoning,8,2
HC06359,21,8/16/2024,Diarrheal Disease,37,2
HC06360,15,2/13/2025,Diarrheal Disease,1,1
HC06361,5,7/8/2025,Typhoid,9,5
HC06362,13,11/5/2024,Food Poisoning,18,2
HC06363,15,12/22/2025,Food Poisoning,4,4
HC06364,7,9/11/2024,Diarrheal Disease,36,5
HC06365,4,7/30/2025,Food Poisoning,10,2
HC06366,24,6/4/2024,Food Poisoning,6,4
HC06367,21,11/2/2024,Diarrheal Disease,17,1
HC06368,8,8/22/2025,Food Poisoning,21,2
HC06369,2,11/26/2024,Typhoid,8,5
HC06370,15,3/6/2024,Typhoid,27,4
HC06371,9,8/24/2025,Food Poisoning,19,4
HC06372,17,1/19/2024,Food Poisoning,29,5
HC06373,4,8/28/2024,Diarrheal Disease,16,1
HC06374,20,4/17/2024,Typhoid,31,5
HC06375,26,1/6/2025,Typhoid,12,4
HC06376,3,12/30/2025,Typhoid,6,3
HC06377,26,3/6/2024,Food Poisoning,22,3
HC06378,12,11/22/2025,Typhoid,15,2
HC06379,14,3/6/2024,Diarrheal Disease,30,5
HC06380,23,11/27/2024,Food Poisoning,15,2
HC06381,12,9/18/2024,Food Poisoning,25,4
HC06382,22,12/16/2025,Food Poisoning,36,5
HC06383,25,10/10/2024,Diarrheal Disease,30,5
HC06384,5,12/8/2025,Food Poisoning,15,1
HC06385,12,9/15/2025,Typhoid,21,3
HC06386,20,5/21/2024,Diarrheal Disease,26,4
HC06387,11,5/26/2025,Diarrheal Disease,31,5
HC06388,26,11/18/2025,Food Poisoning,33,3
HC06389,25,6/8/2025,Diarrheal Disease,25,3
HC06390,25,11/11/2025,Typhoid,3,1
HC06391,19,9/27/2024,Food Poisoning,37,5
HC06392,25,11/20/2025,Food Poisoning,15,5
HC06393,11,12/11/2024,Typhoid,27,3
HC06394,20,12/7/2025,Typhoid,30,4
HC06395,26,8/8/2025,Food Poisoning,34,1
HC06396,20,10/30/2024,Diarrheal Disease,25,5
HC06397,20,1/29/2024,Diarrheal Disease,31,5
HC06398,21,12/5/2024,Diarrheal Disease,19,3
HC06399,5,6/4/2025,Diarrheal Disease,13,1
HC06400,1,2/20/2025,Typhoid,6,5
HC06401,6,8/15/2024,Typhoid,34,2
HC06402,20,9/18/2025,Typhoid,15,2
HC06403,18,4/17/2025,Food Poisoning,39,5
HC06404,13,3/5/2024,Typhoid,7,4
HC06405,23,6/19/2025,Typhoid,31,1
HC06406,2,4/22/2025,Typhoid,39,2
HC06407,3,4/19/2025,Food Poisoning,37,5
HC06408,10,1/18/2025,Typhoid,19,4
HC06409,22,5/8/2025,Typhoid,15,5
HC06410,3,2/5/2024,Typhoid,13,5
HC06411,4,8/30/2025,Food Poisoning,26,3
HC06412,23,4/25/2024,Food Poisoning,9,4
HC06413,17,4/5/2025,Diarrheal Disease,11,3
HC06414,5,11/8/2024,Diarrheal Disease,25,2
HC06415,2,11/9/2024,Typhoid,29,2
HC06416,24,11/26/2024,Food Poisoning,5,4
HC06417,17,12/20/2025,Food Poisoning,4,2
HC06418,22,12/25/2024,Food Poisoning,4,3
HC06419,19,10/16/2024,Food Poisoning,38,5
HC06420,16,5/9/2025,Diarrheal Disease,8,1
HC06421,15,3/18/2024,Typhoid,36,2
HC06422,11,3/16/2024,Typhoid,28,3
HC06423,3,1/25/2025,Food Poisoning,9,2
HC06424,7,5/25/2024,Diarrheal Disease,4,3
HC06425,21,4/12/2024,Typhoid,31,3
HC06426,15,4/9/2025,Typhoid,7,1
HC06427,24,3/6/2025,Food Poisoning,1,2
HC06428,12,12/25/2024,Food Poisoning,39,4
HC06429,3,1/6/2024,Food Poisoning,2,2
HC06430,9,5/12/2024,Food Poisoning,6,3
HC06431,23,8/30/2024,Diarrheal Disease,27,4
HC06432,13,5/9/2025,Typhoid,26,3
HC06433,18,12/30/2024,Food Poisoning,39,1
HC06434,10,3/12/2024,Diarrheal Disease,24,5
HC06435,20,3/11/2024,Typhoid,32,1
HC06436,10,10/10/2025,Typhoid,35,2
HC06437,4,8/27/2025,Diarrheal Disease,15,2
HC06438,23,9/6/2025,Food Poisoning,33,1
HC06439,1,10/31/2024,Diarrheal Disease,37,4
HC06440,1,7/23/2024,Diarrheal Disease,17,3
HC06441,9,2/21/2025,Diarrheal Disease,32,3
HC06442,23,9/26/2025,Diarrheal Disease,6,4
HC06443,12,4/25/2024,Diarrheal Disease,24,4
HC06444,5,3/30/2025,Typhoid,8,3
HC06445,21,5/29/2024,Diarrheal Disease,17,4
HC06446,10,7/22/2024,Typhoid,1,2
HC06447,14,1/21/2024,Typhoid,20,3
HC06448,17,4/11/2024,Typhoid,39,3
HC06449,5,11/5/2025,Diarrheal Disease,11,1
HC06450,21,10/25/2024,Diarrheal Disease,32,2
HC06451,14,7/2/2025,Diarrheal Disease,37,5
HC06452,23,5/19/2025,Typhoid,23,5
HC06453,26,4/30/2025,Diarrheal Disease,35,2
HC06454,7,6/7/2024,Diarrheal Disease,18,2
HC06455,18,9/28/2025,Diarrheal Disease,34,1
HC06456,18,7/14/2025,Food Poisoning,18,3
HC06457,19,4/19/2025,Typhoid,28,3
HC06458,22,12/6/2024,Typhoid,34,1
HC06459,13,11/7/2024,Food Poisoning,27,3
HC06460,11,11/13/2025,Typhoid,12,1
HC06461,15,8/30/2024,Food Poisoning,12,4
HC06462,24,9/8/2024,Typhoid,36,2
HC06463,2,6/2/2025,Typhoid,15,1
HC06464,4,5/5/2025,Typhoid,36,1
HC06465,11,7/27/2025,Diarrheal Disease,32,2
HC06466,13,6/24/2024,Typhoid,8,3
HC06467,11,5/7/2025,Typhoid,8,2
HC06468,3,6/29/2025,Food Poisoning,33,2
HC06469,20,6/9/2024,Food Poisoning,6,3
HC06470,1,10/29/2024,Typhoid,37,4
HC06471,4,2/23/2025,Diarrheal Disease,33,2
HC06472,21,7/3/2024,Diarrheal Disease,31,5
HC06473,23,9/11/2024,Food Poisoning,8,2
HC06474,10,6/10/2025,Diarrheal Disease,23,5
HC06475,8,1/25/2024,Diarrheal Disease,1,5
HC06476,23,8/2/2024,Typhoid,38,4
HC06477,21,9/16/2024,Food Poisoning,36,4
HC06478,21,8/20/2025,Food Poisoning,6,5
HC06479,9,5/25/2025,Diarrheal Disease,8,5
HC06480,14,8/5/2025,Typhoid,8,3
HC06481,18,3/6/2025,Diarrheal Disease,10,2
HC06482,26,11/23/2025,Food Poisoning,17,2
HC06483,3,5/24/2025,Diarrheal Disease,34,3
HC06484,19,8/30/2024,Diarrheal Disease,5,5
HC06485,19,3/11/2025,Diarrheal Disease,7,4
HC06486,25,8/31/2025,Diarrheal Disease,19,3
HC06487,14,6/24/2024,Food Poisoning,18,4
HC06488,4,10/4/2024,Typhoid,25,5
HC06489,19,8/28/2024,Typhoid,6,3
HC06490,8,8/18/2024,Diarrheal Disease,9,3
HC06491,9,1/12/2025,Diarrheal Disease,12,1
HC06492,26,8/9/2024,Food Poisoning,34,5
HC06493,13,4/28/2024,Food Poisoning,36,5
HC06494,12,11/4/2024,Diarrheal Disease,27,3
HC06495,21,5/29/2024,Typhoid,13,5
HC06496,11,7/22/2024,Diarrheal Disease,24,5
HC06497,24,4/3/2024,Diarrheal Disease,28,5
HC06498,9,4/2/2024,Typhoid,29,5
HC06499,22,3/2/2025,Diarrheal Disease,3,2
HC06500,4,12/9/2024,Typhoid,24,5
HC06501,16,4/24/2025,Food Poisoning,1,5
HC06502,16,9/27/2024,Diarrheal Disease,22,3
HC06503,24,10/24/2024,Food Poisoning,36,1
HC06504,16,1/22/2024,Typhoid,4,5
HC06505,18,5/24/2024,Typhoid,4,1
HC06506,20,2/18/2025,Typhoid,28,2
HC06507,15,6/15/2025,Diarrheal Disease,10,1
HC06508,23,3/6/2025,Food Poisoning,4,2
HC06509,6,1/8/2025,Typhoid,16,3
HC06510,9,5/26/2024,Typhoid,39,2
HC06511,6,2/21/2025,Typhoid,8,4
HC06512,12,1/30/2025,Diarrheal Disease,24,2
HC06513,16,5/18/2025,Diarrheal Disease,28,3
HC06514,11,11/17/2025,Diarrheal Disease,35,3
HC06515,1,11/29/2024,Food Poisoning,2,4
HC06516,14,5/22/2024,Diarrheal Disease,4,1
HC06517,11,10/8/2025,Food Poisoning,3,4
HC06518,22,8/23/2024,Typhoid,18,3
HC06519,18,4/9/2025,Typhoid,21,3
HC06520,11,10/3/2025,Typhoid,19,5
HC06521,13,12/25/2025,Typhoid,31,5
HC06522,25,4/4/2025,Diarrheal Disease,29,5
HC06523,3,6/12/2024,Food Poisoning,11,5
HC06524,8,10/20/2025,Typhoid,2,4
HC06525,22,3/21/2025,Food Poisoning,34,2
HC06526,14,8/3/2024,Diarrheal Disease,29,2
HC06527,25,11/12/2024,Diarrheal Disease,26,4
HC06528,17,9/27/2025,Diarrheal Disease,13,2
HC06529,2,1/22/2025,Food Poisoning,6,3
HC06530,10,7/15/2024,Diarrheal Disease,34,5
HC06531,22,12/11/2024,Diarrheal Disease,17,5
HC06532,21,4/20/2024,Food Poisoning,23,1
HC06533,25,9/4/2025,Food Poisoning,25,4
HC06534,7,1/16/2024,Food Poisoning,10,2
HC06535,7,2/4/2024,Diarrheal Disease,34,4
HC06536,10,7/9/2025,Diarrheal Disease,30,5
HC06537,6,4/3/2025,Diarrheal Disease,1,3
HC06538,10,10/14/2024,Food Poisoning,6,4
HC06539,15,9/30/2025,Food Poisoning,15,3
HC06540,25,8/22/2025,Diarrheal Disease,20,4
HC06541,23,7/1/2025,Diarrheal Disease,10,4
HC06542,4,11/18/2024,Typhoid,3,5
HC06543,26,3/8/2024,Food Poisoning,19,3
HC06544,23,9/21/2025,Diarrheal Disease,23,5
HC06545,24,12/23/2025,Typhoid,19,3
HC06546,9,11/11/2025,Food Poisoning,31,1
HC06547,1,4/5/2024,Food Poisoning,13,3
HC06548,26,3/9/2024,Diarrheal Disease,37,3
HC06549,10,11/15/2024,Diarrheal Disease,3,3
HC06550,12,9/5/2024,Food Poisoning,1,5
HC06551,25,4/13/2024,Food Poisoning,24,4
HC06552,14,2/17/2025,Diarrheal Disease,22,4
HC06553,1,4/7/2024,Diarrheal Disease,14,1
HC06554,13,1/23/2025,Diarrheal Disease,38,2
HC06555,12,6/27/2025,Food Poisoning,24,3
HC06556,25,6/11/2024,Typhoid,5,1
HC06557,20,5/9/2024,Food Poisoning,2,4
HC06558,7,6/5/2024,Diarrheal Disease,10,4
HC06559,14,7/8/2024,Typhoid,21,5
HC06560,2,10/8/2024,Food Poisoning,31,4
HC06561,7,9/20/2024,Food Poisoning,9,2
HC06562,16,12/24/2025,Typhoid,33,1
HC06563,1,9/19/2024,Diarrheal Disease,36,4
HC06564,23,1/26/2025,Typhoid,20,2
HC06565,16,7/15/2024,Diarrheal Disease,20,3
HC06566,26,2/28/2025,Diarrheal Disease,9,3
HC06567,9,12/8/2024,Typhoid,32,5
HC06568,12,12/30/2025,Food Poisoning,21,2
HC06569,20,9/10/2025,Diarrheal Disease,23,1
HC06570,6,2/17/2024,Typhoid,27,2
HC06571,15,2/17/2024,Food Poisoning,24,4
HC06572,25,5/4/2025,Food Poisoning,38,3
HC06573,24,2/15/2024,Diarrheal Disease,13,2
HC06574,25,12/10/2025,Food Poisoning,39,1
HC06575,26,6/5/2025,Typhoid,11,5
HC06576,5,4/29/2025,Diarrheal Disease,32,1
HC06577,21,6/12/2024,Food Poisoning,26,3
HC06578,4,1/29/2025,Food Poisoning,18,2
HC06579,20,10/26/2025,Typhoid,14,5
HC06580,7,10/23/2025,Typhoid,8,3
HC06581,24,1/28/2024,Diarrheal Disease,12,4
HC06582,20,10/1/2024,Food Poisoning,25,5
HC06583,3,1/15/2025,Food Poisoning,24,4
HC06584,18,6/11/2025,Typhoid,4,1
HC06585,22,7/24/2025,Diarrheal Disease,13,3
HC06586,26,4/27/2024,Food Poisoning,29,2
HC06587,15,11/21/2025,Food Poisoning,3,1
HC06588,15,11/27/2025,Typhoid,9,4
HC06589,19,12/5/2024,Food Poisoning,3,5
HC06590,20,7/28/2025,Typhoid,23,3
HC06591,11,5/24/2024,Food Poisoning,9,3
HC06592,11,4/11/2024,Diarrheal Disease,10,2
HC06593,24,8/7/2025,Food Poisoning,17,3
HC06594,18,8/9/2024,Diarrheal Disease,4,2
HC06595,11,12/6/2024,Typhoid,11,5
HC06596,22,2/1/2025,Diarrheal Disease,1,4
HC06597,19,11/15/2024,Typhoid,8,2
HC06598,22,4/21/2025,Diarrheal Disease,36,4
HC06599,10,8/23/2025,Food Poisoning,38,4
HC06600,4,9/4/2025,Food Poisoning,2,5
HC06601,11,6/21/2025,Food Poisoning,19,3
HC06602,8,3/30/2025,Diarrheal Disease,35,3
HC06603,26,6/21/2024,Typhoid,34,2
HC06604,10,12/18/2025,Typhoid,25,4
HC06605,19,8/3/2024,Typhoid,9,5
HC06606,9,7/4/2025,Diarrheal Disease,3,1
HC06607,10,10/27/2024,Food Poisoning,1,5
HC06608,4,2/19/2024,Diarrheal Disease,11,4
HC06609,9,2/2/2024,Typhoid,12,4
HC06610,14,10/22/2025,Diarrheal Disease,24,4
HC06611,19,3/12/2025,Food Poisoning,34,1
HC06612,13,11/7/2025,Diarrheal Disease,3,3
HC06613,25,1/2/2025,Food Poisoning,8,5
HC06614,2,3/28/2024,Typhoid,25,1
HC06615,26,9/22/2024,Diarrheal Disease,12,4
HC06616,11,7/3/2025,Diarrheal Disease,13,5
HC06617,15,6/13/2025,Diarrheal Disease,6,3
HC06618,13,6/23/2024,Diarrheal Disease,4,3
HC06619,4,10/7/2025,Food Poisoning,26,1
HC06620,24,9/13/2024,Typhoid,12,4
HC06621,4,9/8/2024,Food Poisoning,30,4
HC06622,15,5/8/2024,Diarrheal Disease,1,3
HC06623,20,5/14/2025,Diarrheal Disease,25,5
HC06624,20,10/25/2025,Diarrheal Disease,14,1
HC06625,7,6/23/2025,Food Poisoning,23,5
HC06626,15,3/30/2025,Food Poisoning,19,4
HC06627,22,6/20/2024,Typhoid,22,5
HC06628,3,12/3/2025,Diarrheal Disease,37,1
HC06629,13,3/9/2025,Food Poisoning,10,1
HC06630,15,11/23/2024,Food Poisoning,14,3
HC06631,10,2/21/2024,Diarrheal Disease,11,4
HC06632,18,6/19/2024,Typhoid,15,2
HC06633,4,7/12/2024,Diarrheal Disease,22,4
HC06634,2,6/1/2024,Typhoid,7,5
HC06635,5,8/4/2024,Typhoid,36,5
HC06636,25,6/8/2025,Diarrheal Disease,33,2
HC06637,17,5/15/2025,Food Poisoning,38,2
HC06638,11,11/15/2025,Typhoid,14,1
HC06639,10,3/19/2024,Diarrheal Disease,28,4
HC06640,19,12/19/2024,Typhoid,21,3
HC06641,14,9/10/2025,Food Poisoning,34,2
HC06642,4,12/22/2024,Typhoid,39,2
HC06643,24,3/3/2025,Diarrheal Disease,30,2
HC06644,23,8/27/2025,Food Poisoning,12,2
HC06645,10,12/15/2025,Diarrheal Disease,11,2
HC06646,23,3/9/2024,Diarrheal Disease,33,5
HC06647,23,4/17/2024,Food Poisoning,27,4
HC06648,17,7/16/2024,Diarrheal Disease,15,5
HC06649,22,6/10/2025,Diarrheal Disease,22,1
HC06650,26,7/30/2025,Food Poisoning,35,4
HC06651,19,1/8/2025,Food Poisoning,24,2
